Rank,Club,Country,Level,Elo,From,To
1,Liverpool,ENG,1,2043.74633789,2019-05-13,2019-06-01
2,Man City,ENG,1,2041.26416016,2019-05-13,2019-07-25
3,Barcelona,ESP,1,1999.87780762,2019-05-20,2019-07-25
4,Bayern,GER,1,1947.40869141,2019-05-19,2019-07-25
5,Tottenham,ENG,1,1901.27246094,2019-05-13,2019-06-01
6,Chelsea,ENG,1,1886.99499512,2019-05-30,2019-07-25
7,Atletico,ESP,1,1877.07495117,2019-05-27,2019-07-25
8,Juventus,ITA,1,1870.95153809,2019-05-30,2019-07-25
9,Arsenal,ENG,1,1870.87512207,2019-05-30,2019-07-25
10,Man United,ENG,1,1842.21777344,2019-05-25,2019-07-25
11,Real Madrid,ESP,1,1840.49804688,2019-05-25,2019-07-25
12,Paris SG,FRA,1,1832.9666748,2019-05-25,2019-07-25
13,Dortmund,GER,1,1826.01159668,2019-05-19,2019-07-25
14,Ajax,NED,1,1816.38964844,2019-05-26,2019-07-23
15,Porto,POR,1,1816.23083496,2019-05-26,2019-07-25
16,Valencia,ESP,1,1812.30407715,2019-05-26,2019-07-25
17,Napoli,ITA,1,1808.96850586,2019-05-26,2019-07-25
18,Benfica,POR,1,1797.06628418,2019-05-19,2019-07-25
19,RB Leipzig,GER,1,1784.65576172,2019-05-19,2019-07-25
20,Everton,ENG,1,1773.65405273,2019-05-13,2019-07-25
21,Salzburg,AUT,1,1768.56665039,2019-05-27,2019-07-25
22,Leverkusen,GER,1,1764.07568359,2019-05-20,2019-07-25
23,Getafe,ESP,1,1759.87231445,2019-05-19,2019-07-25
24,Roma,ITA,1,1750.7598877,2019-05-27,2019-07-25
25,Shakhtar,UKR,1,1750.70922852,2019-05-31,2019-07-25
26,Atalanta,ITA,1,1750.15283203,2019-05-31,2019-07-25
27,Frankfurt,GER,1,1748.75708008,2019-05-31,2019-07-25
28,Sevilla,ESP,1,1747.23376465,2019-05-27,2019-07-25
29,Crystal Palace,ENG,1,1746.52441406,2019-05-27,2019-07-25
30,Leicester,ENG,1,1742.6628418,2019-05-20,2019-07-25
31,Espanyol,ESP,1,1738.08911133,2019-05-20,2019-07-25
32,Inter,ITA,1,1733.46191406,2019-05-27,2019-07-25
33,West Ham,ENG,1,1733.4362793,2019-05-27,2019-07-25
34,Villarreal,ESP,1,1731.5090332,2019-05-27,2019-07-25
35,Lyon,FRA,1,1731.26257324,2019-05-27,2019-07-25
36,Hoffenheim,GER,1,1730.13244629,2019-05-25,2019-07-25
37,Wolves,ENG,1,1723.51721191,2019-05-19,2019-07-25
38,Bilbao,ESP,1,1720.66845703,2019-05-19,2019-07-25
39,Werder,GER,1,1720.48913574,2019-05-19,2019-07-25
40,Newcastle,ENG,1,1719.57849121,2019-05-19,2019-07-25
41,Sporting,POR,1,1718.52734375,2019-05-19,2019-07-25
42,Sociedad,ESP,1,1718.0802002,2019-05-19,2019-07-25
43,Milan,ITA,1,1713.78881836,2019-05-27,2019-07-23
44,PSV,NED,1,1712.97058105,2019-05-27,2019-07-23
45,Eibar,ESP,1,1711.42724609,2019-05-27,2019-07-25
46,Wolfsburg,GER,1,1707.35559082,2019-05-20,2019-07-25
47,Gladbach,GER,1,1696.69909668,2019-05-23,2019-07-14
48,Torino,ITA,1,1696.02563477,2019-05-27,2019-07-14
49,Zenit,RUS,1,1695.36730957,2019-05-27,2019-07-14
50,Bournemouth,ENG,1,1694.88586426,2019-05-27,2019-07-25
51,Watford,ENG,1,1689.30114746,2019-05-27,2019-07-25
52,Young Boys,SUI,1,1686.55383301,2019-05-26,2019-07-11
53,Burnley,ENG,1,1685.65490723,2019-05-26,2019-07-21
54,Betis,ESP,1,1685.14562988,2019-05-26,2019-07-21
55,Levante,ESP,1,1684.53381348,2019-05-26,2019-07-21
56,CSKA Moskva,RUS,1,1683.42663574,2019-05-27,2019-07-14
57,FC Krasnodar,RUS,1,1682.62646484,2019-05-27,2019-07-14
58,Alaves,ESP,1,1682.05615234,2019-05-27,2019-07-14
59,Celta,ESP,1,1679.8125,2019-05-27,2019-07-14
60,Dynamo Kyiv,UKR,1,1677.98364258,2019-05-31,2019-07-14
61,Southampton,ENG,1,1677.77783203,2019-05-31,2019-07-14
62,Crvena Zvezda,SRB,1,1677.57751465,2019-05-31,2019-07-09
63,Lille,FRA,1,1676.84460449,2019-05-31,2019-07-09
64,Dinamo Zagreb,CRO,1,1673.48718262,2019-05-31,2019-07-09
65,Leganes,ESP,1,1669.44384766,2019-05-23,2019-07-14
66,Lazio,ITA,1,1661.72021484,2019-05-27,2019-07-18
67,Saint-Etienne,FRA,1,1659.45202637,2019-05-25,2019-07-18
68,Slavia Praha,CZE,1,1654.06799316,2019-05-27,2019-07-15
69,Olympiakos,GRE,1,1653.44238281,2019-05-27,2019-07-23
