Rank,Club,Country,Level,Elo,From,To
1,Man City,ENG,1,2050.57299805,2024-05-20,2024-08-18
2,Real Madrid,ESP,1,1987.61157227,2024-05-26,2024-06-01
3,Inter,ITA,1,1964.77954102,2024-05-30,2024-08-17
4,Arsenal,ENG,1,1946.90283203,2024-05-23,2024-08-17
5,Leverkusen,GER,1,1927.45849609,2024-05-23,2024-06-01
6,Bayern,GER,1,1902.48327637,2024-05-23,2024-06-01
7,Liverpool,ENG,1,1900.68835449,2024-05-20,2024-06-01
8,Atalanta,ITA,1,1896.87683105,2024-05-30,2024-06-02
9,Barcelona,ESP,1,1879.72180176,2024-05-27,2024-06-01
10,Dortmund,GER,1,1879.03430176,2024-05-27,2024-06-01
11,Paris SG,FRA,1,1877.40136719,2024-05-27,2024-06-01
12,RB Leipzig,GER,1,1849.11108398,2024-05-26,2024-06-01
13,Milan,ITA,1,1838.72802734,2024-05-30,2024-08-17
14,Juventus,ITA,1,1827.82836914,2024-05-30,2024-06-01
15,Atletico,ESP,1,1826.15209961,2024-05-27,2024-06-01
16,Roma,ITA,1,1812.41601562,2024-05-30,2024-08-15
17,Stuttgart,GER,1,1810.65637207,2024-05-25,2024-06-01
18,Chelsea,ENG,1,1810.11962891,2024-05-25,2024-06-01
19,Sporting,POR,1,1805.62133789,2024-05-25,2024-07-25
20,Newcastle,ENG,1,1801.79711914,2024-05-25,2024-08-17
21,Bologna,ITA,1,1795.25170898,2024-05-30,2024-08-18
22,PSV,NED,1,1793.68835449,2024-05-27,2024-06-01
23,Girona,ESP,1,1791.36120605,2024-05-27,2024-06-01
24,Tottenham,ENG,1,1790.55664062,2024-05-27,2024-08-01
25,Lazio,ITA,1,1784.74365234,2024-05-30,2024-08-15
26,Man United,ENG,1,1779.04394531,2024-05-30,2024-08-01
27,Napoli,ITA,1,1778.8536377,2024-05-30,2024-08-01
28,Porto,POR,1,1778.34240723,2024-05-30,2024-07-25
29,Aston Villa,ENG,1,1770.43505859,2024-05-30,2024-06-02
30,Benfica,POR,1,1767.84130859,2024-05-30,2024-06-02
31,Sociedad,ESP,1,1764.18395996,2024-05-30,2024-06-01
32,Fiorentina,ITA,1,1763.97094727,2024-05-30,2024-06-01
33,Feyenoord,NED,1,1763.36889648,2024-05-20,2024-06-01
34,Bilbao,ESP,1,1761.78222656,2024-05-26,2024-06-01
35,Monaco,FRA,1,1761.04504395,2024-05-26,2024-08-01
36,Crystal Palace,ENG,1,1759.70800781,2024-05-26,2024-08-01
37,Lille,FRA,1,1751.39599609,2024-05-20,2024-08-06
38,Villarreal,ESP,1,1739.72607422,2024-05-30,2024-06-01
39,Torino,ITA,1,1738.89416504,2024-05-30,2024-08-15
40,Brugge,BEL,1,1733.94091797,2024-05-27,2024-07-25
41,West Ham,ENG,1,1726.24291992,2024-05-20,2024-08-01
42,Marseille,FRA,1,1724.24462891,2024-05-20,2024-07-25
43,Galatasaray,TUR,1,1721.62023926,2024-05-27,2024-07-23
44,Lens,FRA,1,1719.13769531,2024-05-27,2024-07-30
45,Fulham,ENG,1,1716.27636719,2024-05-20,2024-07-23
46,Fenerbahce,TUR,1,1713.58874512,2024-05-27,2024-07-23
47,Lyon,FRA,1,1713.1796875,2024-05-27,2024-08-06
48,Brighton,ENG,1,1713.16320801,2024-05-27,2024-08-13
49,Brentford,ENG,1,1711.08398438,2024-05-20,2024-08-07
50,Betis,ESP,1,1706.8885498,2024-05-26,2024-06-01
51,Everton,ENG,1,1706.85083008,2024-05-26,2024-08-07
52,Brest,FRA,1,1704.33203125,2024-05-26,2024-08-02
53,Nice,FRA,1,1702.64208984,2024-05-26,2024-08-02
54,Slavia Praha,CZE,1,1702.1673584,2024-05-27,2024-07-21
55,St Gillis,BEL,1,1701.48962402,2024-05-27,2024-07-21
56,Frankfurt,GER,1,1699.40368652,2024-05-30,2024-06-01
57,Genoa,ITA,1,1696.19250488,2024-05-30,2024-07-27
58,Mainz,GER,1,1695.86242676,2024-05-27,2024-06-01
59,Rennes,FRA,1,1693.56115723,2024-05-25,2024-06-01
60,Bournemouth,ENG,1,1691.12365723,2024-05-25,2024-08-07
61,Hoffenheim,GER,1,1685.4552002,2024-05-25,2024-06-01
62,Freiburg,GER,1,1679.98937988,2024-05-27,2024-06-01
63,Sparta Praha,CZE,1,1679.60803223,2024-05-27,2024-06-01
64,Wolves,ENG,1,1677.86230469,2024-05-27,2024-06-01
65,Sevilla,ESP,1,1673.88000488,2024-05-27,2024-06-01
66,Olympiakos,GRE,1,1673.05273438,2024-05-30,2024-07-24
67,Werder,GER,1,1669.22692871,2024-05-27,2024-06-01
68,Udinese,ITA,1,1666.17004395,2024-05-30,2024-08-10
69,Monza,ITA,1,1664.85754395,2024-05-30,2024-08-10
